phone,code
50200000001,NTAyMDAwMDAwMDEyOTM5MQo=
50200000002,NTAyMDAwMDAwMDIzMTIwOAo=
50200000003,NTAyMDAwMDAwMDMyNTcK
50200000004,NTAyMDAwMDAwMDQyMDc0Cg==
50200000005,NTAyMDAwMDAwMDUzODkxCg==
50200000006,NTAyMDAwMDAwMDY1NzA5Cg==
50200000007,NTAyMDAwMDAwMDc3NTI2Cg==
50200000008,NTAyMDAwMDAwMDg5MzQzCg==
50200000009,NTAyMDAwMDAwMDkxMTE2MAo=
50200000010,NTAyMDAwMDAwMTAxMjk3OAo=
50200000011,NTAyMDAwMDAwMTExNDc5NQo=
50200000012,NTAyMDAwMDAwMTIxNjYxMgo=
50200000013,NTAyMDAwMDAwMTMxODQyOQo=
50200000014,NTAyMDAwMDAwMTQyMDI0Nwo=
50200000015,NTAyMDAwMDAwMTUyMjA2NAo=
50200000016,NTAyMDAwMDAwMTYyMzg4MQo=
50200000017,NTAyMDAwMDAwMTcyNTY5OAo=
50200000018,NTAyMDAwMDAwMTgyNzUxNQo=
50200000019,NTAyMDAwMDAwMTkyOTMzMwo=
50200000020,NTAyMDAwMDAwMjAzMTE1MAo=
50200000021,NTAyMDAwMDAwMjExOTkK
50200000022,NTAyMDAwMDAwMjIyMDE2Cg==
50200000023,NTAyMDAwMDAwMjMzODM0Cg==
50200000024,NTAyMDAwMDAwMjQ1NjUxCg==
50200000025,NTAyMDAwMDAwMjU3NDY4Cg==
50200000026,NTAyMDAwMDAwMjY5Mjg1Cg==
50200000027,NTAyMDAwMDAwMjcxMTEwMgo=
50200000028,NTAyMDAwMDAwMjgxMjkyMAo=
50200000029,NTAyMDAwMDAwMjkxNDczNwo=
50200000030,NTAyMDAwMDAwMzAxNjU1NAo=
50200000031,NTAyMDAwMDAwMzExODM3MQo=
50200000032,NTAyMDAwMDAwMzIyMDE4OQo=
50200000033,NTAyMDAwMDAwMzMyMjAwNgo=
50200000034,NTAyMDAwMDAwMzQyMzgyMwo=
50200000035,NTAyMDAwMDAwMzUyNTY0MAo=
50200000036,NTAyMDAwMDAwMzYyNzQ1Nwo=
50200000037,NTAyMDAwMDAwMzcyOTI3NQo=
50200000038,NTAyMDAwMDAwMzgzMTA5Mgo=
50200000039,NTAyMDAwMDAwMzkxNDEK
50200000040,NTAyMDAwMDAwNDAxOTU4Cg==
50200000041,NTAyMDAwMDAwNDEzNzc2Cg==
50200000042,NTAyMDAwMDAwNDI1NTkzCg==
50200000043,NTAyMDAwMDAwNDM3NDEwCg==
50200000044,NTAyMDAwMDAwNDQ5MjI3Cg==
50200000045,NTAyMDAwMDAwNDUxMTA0NQo=
50200000046,NTAyMDAwMDAwNDYxMjg2Mgo=
50200000047,NTAyMDAwMDAwNDcxNDY3OQo=
50200000048,NTAyMDAwMDAwNDgxNjQ5Ngo=
50200000049,NTAyMDAwMDAwNDkxODMxMwo=
50200000051,NTAyMDAwMDAwNTE2MDE4Cg==
50200000052,NTAyMDAwMDAwNTI3ODM1Cg==
50200000053,NTAyMDAwMDAwNTM5NjUzCg==
50200000054,NTAyMDAwMDAwNTQxMTQ3MAo=
50200000055,NTAyMDAwMDAwNTUxMzI4Nwo=
50200000056,NTAyMDAwMDAwNTYxNTEwNAo=
50200000057,NTAyMDAwMDAwNTc5OTIK
50200000058,NTAyMDAwMDAwNTgxOTY0Nwo=
50200000059,NTAyMDAwMDAwNTkyMTQ2NQo=
50200000061,NTAyMDAwMDAwNjEyNTA5OQo=
50200000062,NTAyMDAwMDAwNjIyNjkxNgo=
50200000063,NTAyMDAwMDAwNjMxMzcxMgo=
50200000064,NTAyMDAwMDAwNjQzMjM2OAo=
50200000065,NTAyMDAwMDAwNjUxNDE3Cg==
50200000066,NTAyMDAwMDAwNjYzMjM0Cg==
50200000067,NTAyMDAwMDAwNjc1MDUyCg==
50200000068,NTAyMDAwMDAwNjg2ODY5Cg==
50200000069,NTAyMDAwMDAwNjk5NTk1Cg==
50200000070,NTAyMDAwMDAwNzAxMTQxMgo=
50200000071,NTAyMDAwMDAwNzExMzIyOQo=
50200000072,NTAyMDAwMDAwNzIzMTg4NQo=
50200000073,NTAyMDAwMDAwNzM5MzQK
50200000074,NTAyMDAwMDAwNzQyNzUxCg==
50200000075,NTAyMDAwMDAwNzU0NTY4Cg==
50200000076,NTAyMDAwMDAwNzY2Mzg2Cg==
50200000077,NTAyMDAwMDAwNzc4MjAzCg==
50200000078,NTAyMDAwMDAwNzgxMDAyMAo=
50200000079,NTAyMDAwMDAwNzkxMTgzNwo=
50200000080,NTAyMDAwMDAwODAxMzY1NAo=
50200000081,NTAyMDAwMDAwODExNTQ3Mgo=
50200000082,NTAyMDAwMDAwODIxNzI4OQo=
50200000083,NTAyMDAwMDAwODMxOTEwNgo=
50200000084,NTAyMDAwMDAwODQyMDkyMwo=
50200000085,NTAyMDAwMDAwODUyMjc0MQo=
50200000086,NTAyMDAwMDAwODYyNDU1OAo=
50200000087,NTAyMDAwMDAwODcyNjM3NQo=
50200000088,NTAyMDAwMDAwODgyODE5Mgo=
50200000089,NTAyMDAwMDAwODkzMDAwOQo=
50200000090,NTAyMDAwMDAwOTAzMTgyNwo=
50200000091,NTAyMDAwMDAwOTE4NzYK
50200000092,NTAyMDAwMDAwOTIyNjkzCg==
50200000093,NTAyMDAwMDAwOTM0NTEwCg==
50200000094,NTAyMDAwMDAwOTQ2MzI4Cg==
50200000095,NTAyMDAwMDAwOTU4MTQ1Cg==
50200000096,NTAyMDAwMDAwOTY5OTYyCg==
50200000097,NTAyMDAwMDAwOTcxMTc3OQo=
50200000098,NTAyMDAwMDAwOTgxMzU5Nwo=
50200000099,NTAyMDAwMDAwOTkxNTQxNAo=
50200000100,NTAyMDAwMDAxMDAxNzIzMQo=
